,Hostname,Application,Utilization(kb),Timestamp
0,vdevice-host-name,dns,0.1,1/18/2019 8:55
2,vdevice-host-name,https,2.78,1/18/2019 8:55
9,vdevice-host-name,dns,0.21,1/18/2019 9:00
12,vdevice-host-name,https,2.78,1/18/2019 9:00
19,vdevice-host-name,https,2.89,1/18/2019 9:05
20,vdevice-host-name,dns,0.11,1/18/2019 9:05
21,vdevice-host-name,dns,0.34,1/18/2019 9:10
22,vdevice-host-name,https,3.31,1/18/2019 9:10
30,vdevice-host-name,https,2.23,1/18/2019 9:15
34,vdevice-host-name,dns,0.14,1/18/2019 9:15
36,vdevice-host-name,dns,0.16,1/18/2019 9:20
40,vdevice-host-name,https,3.28,1/18/2019 9:20
43,vdevice-host-name,dns,0.52,1/18/2019 9:25
47,vdevice-host-name,https,2.79,1/18/2019 9:25
50,vdevice-host-name,https,2.89,1/18/2019 9:30
53,vdevice-host-name,dns,0.16,1/18/2019 9:30
57,vdevice-host-name,dns,0.16,1/18/2019 9:35
60,vdevice-host-name,https,2.8,1/18/2019 9:35
63,vdevice-host-name,dns,0.4,1/18/2019 9:40
66,vdevice-host-name,https,3.34,1/18/2019 9:40
70,vdevice-host-name,dns,0.14,1/18/2019 9:45
76,vdevice-host-name,https,2.8,1/18/2019 9:45
81,vdevice-host-name,dns,0.16,1/18/2019 9:50
82,vdevice-host-name,https,2.82,1/18/2019 9:50
87,vdevice-host-name,https,2.78,1/18/2019 9:55
89,vdevice-host-name,dns,0.35,1/18/2019 9:55
91,vdevice-host-name,dns,0.21,1/18/2019 10:00
93,vdevice-host-name,https,2.78,1/18/2019 10:00
100,vdevice-host-name,dns,0.3,1/18/2019 10:05
102,vdevice-host-name,https,2.8,1/18/2019 10:05
106,vdevice-host-name,https,2.79,1/18/2019 10:10
107,vdevice-host-name,dns,0.34,1/18/2019 10:10
114,vdevice-host-name,dns,0.14,1/18/2019 10:15
118,vdevice-host-name,https,3.35,1/18/2019 10:15
121,vdevice-host-name,dns,0.19,1/18/2019 10:20
123,vdevice-host-name,https,2.21,1/18/2019 10:20
128,vdevice-host-name,dns,0.35,1/18/2019 10:25
132,vdevice-host-name,https,3.32,1/18/2019 10:25
138,vdevice-host-name,https,2.78,1/18/2019 10:30
139,vdevice-host-name,dns,0.23,1/18/2019 10:30
140,vdevice-host-name,https,2.34,1/18/2019 10:35
144,vdevice-host-name,dns,0.23,1/18/2019 10:35
151,vdevice-host-name,https,2.78,1/18/2019 10:40
153,vdevice-host-name,dns,0.33,1/18/2019 10:40
154,vdevice-host-name,dns,0.21,1/18/2019 10:45
160,vdevice-host-name,https,3.77,1/18/2019 10:45
165,vdevice-host-name,dns,0.25,1/18/2019 10:50
166,vdevice-host-name,https,2.34,1/18/2019 10:50
171,vdevice-host-name,https,2.85,1/18/2019 10:55
173,vdevice-host-name,dns,0.15,1/18/2019 10:55
175,vdevice-host-name,dns,0.13,1/18/2019 11:00
176,vdevice-host-name,https,2.79,1/18/2019 11:00
183,vdevice-host-name,https,3.37,1/18/2019 11:05
187,vdevice-host-name,dns,0.39,1/18/2019 11:05
191,vdevice-host-name,dns,0.27,1/18/2019 11:10
192,vdevice-host-name,https,2.83,1/18/2019 11:10
200,vdevice-host-name,https,2.26,1/18/2019 11:15
201,vdevice-host-name,dns,0.26,1/18/2019 11:15
203,vdevice-host-name,https,2.84,1/18/2019 11:25
206,vdevice-host-name,dns,0.42,1/18/2019 11:25
210,vdevice-host-name,https,3.05,1/18/2019 11:30
215,vdevice-host-name,dns,0.32,1/18/2019 11:30
218,vdevice-host-name,https,2.86,1/18/2019 11:35
222,vdevice-host-name,dns,0.28,1/18/2019 11:35
224,vdevice-host-name,https,2.88,1/18/2019 11:40
227,vdevice-host-name,dns,0.27,1/18/2019 11:40
232,vdevice-host-name,https,3.4,1/18/2019 11:45
236,vdevice-host-name,dns,0.26,1/18/2019 11:45
239,vdevice-host-name,dns,0.16,1/18/2019 11:50
243,vdevice-host-name,https,2.87,1/18/2019 11:50
246,vdevice-host-name,dns,0.23,1/18/2019 11:55
250,vdevice-host-name,https,3.07,1/18/2019 11:55
256,vdevice-host-name,https,3.19,1/18/2019 12:00
257,vdevice-host-name,dns,0.13,1/18/2019 12:00
261,vdevice-host-name,dns,0.37,1/18/2019 12:05
262,vdevice-host-name,https,2.7,1/18/2019 12:05
269,vdevice-host-name,dns,0.23,1/18/2019 12:10
270,vdevice-host-name,https,2.88,1/18/2019 12:10
278,vdevice-host-name,https,2.87,1/18/2019 12:15
279,vdevice-host-name,dns,0.25,1/18/2019 12:15
285,vdevice-host-name,https,3.4,1/18/2019 12:20
286,vdevice-host-name,dns,0.1,1/18/2019 12:20
291,vdevice-host-name,https,2.87,1/18/2019 12:25
293,vdevice-host-name,dns,0.37,1/18/2019 12:25
294,vdevice-host-name,dns,0.78,1/18/2019 12:30
296,vdevice-host-name,https,3.4,1/18/2019 12:30
301,vdevice-host-name,https,2.87,1/18/2019 12:35
303,vdevice-host-name,dns,0.72,1/18/2019 12:35
309,vdevice-host-name,dns,0.38,1/18/2019 12:40
311,vdevice-host-name,https,2.88,1/18/2019 12:40
315,vdevice-host-name,dns,0,1/18/2019 12:45
319,vdevice-host-name,https,2.38,1/18/2019 12:45
322,vdevice-host-name,https,5.27,1/18/2019 12:50
323,vdevice-host-name,dns,0.25,1/18/2019 12:50
333,vdevice-host-name,https,2.92,1/18/2019 12:55
334,vdevice-host-name,dns,0.18,1/18/2019 12:55
337,vdevice-host-name,dns,0.23,1/18/2019 13:00
341,vdevice-host-name,https,2.87,1/18/2019 13:00
347,vdevice-host-name,https,2.88,1/18/2019 13:05
348,vdevice-host-name,dns,0.1,1/18/2019 13:05
353,vdevice-host-name,https,2.87,1/18/2019 13:10
355,vdevice-host-name,dns,0.45,1/18/2019 13:10
359,vdevice-host-name,https,2.87,1/18/2019 13:15
363,vdevice-host-name,dns,0.13,1/18/2019 13:15
367,vdevice-host-name,https,3.41,1/18/2019 13:20
368,vdevice-host-name,dns,0.27,1/18/2019 13:20
371,vdevice-host-name,https,2.88,1/18/2019 13:25
373,vdevice-host-name,dns,0.44,1/18/2019 13:25
379,vdevice-host-name,dns,0.41,1/18/2019 13:30
382,vdevice-host-name,https,2.86,1/18/2019 13:30
386,vdevice-host-name,https,2.88,1/18/2019 13:35
387,vdevice-host-name,dns,0.18,1/18/2019 13:35
393,vdevice-host-name,https,2.86,1/18/2019 13:40
398,vdevice-host-name,dns,0.27,1/18/2019 13:40
403,vdevice-host-name,https,2.87,1/18/2019 13:45
405,vdevice-host-name,dns,0.21,1/18/2019 13:45
406,vdevice-host-name,dns,0.09,1/18/2019 13:50
407,vdevice-host-name,https,2.87,1/18/2019 13:50
413,vdevice-host-name,dns,0.21,1/18/2019 13:55
414,vdevice-host-name,https,2.86,1/18/2019 13:55
423,vdevice-host-name,dns,0.17,1/18/2019 14:00
426,vdevice-host-name,https,3.06,1/18/2019 14:00
428,vdevice-host-name,dns,0.09,1/18/2019 14:05
433,vdevice-host-name,https,2.88,1/18/2019 14:05
434,vdevice-host-name,https,2.87,1/18/2019 14:10
436,vdevice-host-name,dns,0.28,1/18/2019 14:10
443,vdevice-host-name,https,3.41,1/18/2019 14:15
444,vdevice-host-name,dns,0.11,1/18/2019 14:15
448,vdevice-host-name,https,2.86,1/18/2019 14:20
451,vdevice-host-name,dns,0.11,1/18/2019 14:20
458,vdevice-host-name,dns,0.34,1/18/2019 14:25
459,vdevice-host-name,https,2.88,1/18/2019 14:25
462,vdevice-host-name,https,2.86,1/18/2019 14:30
466,vdevice-host-name,dns,0.06,1/18/2019 14:30
471,vdevice-host-name,dns,0.19,1/18/2019 14:35
472,vdevice-host-name,https,2.4,1/18/2019 14:35
476,vdevice-host-name,https,3.88,1/18/2019 14:40
480,vdevice-host-name,dns,0.34,1/18/2019 14:40
484,vdevice-host-name,dns,0.05,1/18/2019 14:45
486,vdevice-host-name,https,2.41,1/18/2019 14:45
493,vdevice-host-name,https,2.83,1/18/2019 14:50
494,vdevice-host-name,dns,0.13,1/18/2019 14:50
499,vdevice-host-name,dns,0.1,1/18/2019 14:55
501,vdevice-host-name,https,2.85,1/18/2019 14:55
508,vdevice-host-name,https,2.88,1/18/2019 15:00
509,vdevice-host-name,dns,0.09,1/18/2019 15:00
514,vdevice-host-name,dns,0.28,1/18/2019 15:05
517,vdevice-host-name,https,3.44,1/18/2019 15:05
518,vdevice-host-name,dns,0.34,1/18/2019 15:10
520,vdevice-host-name,https,2.87,1/18/2019 15:10
525,vdevice-host-name,https,2.86,1/18/2019 15:15
530,vdevice-host-name,dns,0.09,1/18/2019 15:15
532,vdevice-host-name,dns,0.15,1/18/2019 15:20
536,vdevice-host-name,https,3.41,1/18/2019 15:20
543,vdevice-host-name,https,2.33,1/18/2019 15:25
545,vdevice-host-name,dns,0.4,1/18/2019 15:25
550,vdevice-host-name,https,3.44,1/18/2019 15:30
551,vdevice-host-name,dns,0.12,1/18/2019 15:30
554,vdevice-host-name,https,2.89,1/18/2019 15:35
559,vdevice-host-name,dns,0.15,1/18/2019 15:35
565,vdevice-host-name,dns,0.27,1/18/2019 15:40
566,vdevice-host-name,https,2.88,1/18/2019 15:40
567,vdevice-host-name,https,2.85,1/18/2019 15:45
572,vdevice-host-name,dns,0.15,1/18/2019 15:45
577,vdevice-host-name,dns,0.11,1/18/2019 15:50
578,vdevice-host-name,https,2.89,1/18/2019 15:50
582,vdevice-host-name,https,3.41,1/18/2019 15:55
587,vdevice-host-name,dns,0.18,1/18/2019 15:55
591,vdevice-host-name,dns,0.14,1/18/2019 16:00
592,vdevice-host-name,https,2.86,1/18/2019 16:00
597,vdevice-host-name,https,2.89,1/18/2019 16:05
601,vdevice-host-name,dns,0.1,1/18/2019 16:05
606,vdevice-host-name,dns,0.29,1/18/2019 16:10
608,vdevice-host-name,https,2.88,1/18/2019 16:10
613,vdevice-host-name,https,2.88,1/18/2019 16:15
615,vdevice-host-name,dns,0.21,1/18/2019 16:15
