,Hostname,Application,Utilization(bps),Timestamp
0,vdevice-host-name,dns,105,18-01-2019 8:55
9,vdevice-host-name,dns,212.5,18-01-2019 9:00
20,vdevice-host-name,dns,105,18-01-2019 9:05
21,vdevice-host-name,dns,340,18-01-2019 9:10
34,vdevice-host-name,dns,142.5,18-01-2019 9:15
36,vdevice-host-name,dns,157.5,18-01-2019 9:20
43,vdevice-host-name,dns,521.625,18-01-2019 9:25
53,vdevice-host-name,dns,163.25,18-01-2019 9:30
57,vdevice-host-name,dns,154.25,18-01-2019 9:35
63,vdevice-host-name,dns,398.5,18-01-2019 9:40
70,vdevice-host-name,dns,140,18-01-2019 9:45
81,vdevice-host-name,dns,160,18-01-2019 9:50
89,vdevice-host-name,dns,353,18-01-2019 9:55
91,vdevice-host-name,dns,213,18-01-2019 10:00
100,vdevice-host-name,dns,300,18-01-2019 10:05
107,vdevice-host-name,dns,343,18-01-2019 10:10
114,vdevice-host-name,dns,140,18-01-2019 10:15
121,vdevice-host-name,dns,185.25,18-01-2019 10:20
128,vdevice-host-name,dns,347.375,18-01-2019 10:25
139,vdevice-host-name,dns,230.5,18-01-2019 10:30
144,vdevice-host-name,dns,230,18-01-2019 10:35
153,vdevice-host-name,dns,328,18-01-2019 10:40
154,vdevice-host-name,dns,210,18-01-2019 10:45
165,vdevice-host-name,dns,250.5,18-01-2019 10:50
173,vdevice-host-name,dns,157.5,18-01-2019 10:55
175,vdevice-host-name,dns,122.5,18-01-2019 11:00
187,vdevice-host-name,dns,390.5,18-01-2019 11:05
191,vdevice-host-name,dns,270,18-01-2019 11:10
201,vdevice-host-name,dns,262.5,18-01-2019 11:15
206,vdevice-host-name,dns,426.125,18-01-2019 11:25
215,vdevice-host-name,dns,316,18-01-2019 11:30
222,vdevice-host-name,dns,276.75,18-01-2019 11:35
227,vdevice-host-name,dns,275.75,18-01-2019 11:40
236,vdevice-host-name,dns,262.5,18-01-2019 11:45
239,vdevice-host-name,dns,154.25,18-01-2019 11:50
246,vdevice-host-name,dns,236.25,18-01-2019 11:55
257,vdevice-host-name,dns,122.5,18-01-2019 12:00
261,vdevice-host-name,dns,376.25,18-01-2019 12:05
269,vdevice-host-name,dns,223.25,18-01-2019 12:10
279,vdevice-host-name,dns,251,18-01-2019 12:15
286,vdevice-host-name,dns,101.75,18-01-2019 12:20
293,vdevice-host-name,dns,373.625,18-01-2019 12:25
294,vdevice-host-name,dns,776.625,18-01-2019 12:30
303,vdevice-host-name,dns,721.625,18-01-2019 12:35
309,vdevice-host-name,dns,380.75,18-01-2019 12:40
315,vdevice-host-name,dns,0,18-01-2019 12:45
323,vdevice-host-name,dns,247.75,18-01-2019 12:50
334,vdevice-host-name,dns,180.75,18-01-2019 12:55
337,vdevice-host-name,dns,230.5,18-01-2019 13:00
348,vdevice-host-name,dns,101.75,18-01-2019 13:05
355,vdevice-host-name,dns,450.75,18-01-2019 13:10
363,vdevice-host-name,dns,125.5,18-01-2019 13:15
368,vdevice-host-name,dns,276.75,18-01-2019 13:20
373,vdevice-host-name,dns,433.875,18-01-2019 13:25
379,vdevice-host-name,dns,414.875,18-01-2019 13:30
387,vdevice-host-name,dns,174.75,18-01-2019 13:35
398,vdevice-host-name,dns,275.75,18-01-2019 13:40
